,epoch,condition,win,wname,item,rt,channel,mean,subj
0,0,correct/related,-200..0,baseline,16,402,F7,-0.2676505173048515,16
1,0,correct/related,-200..0,baseline,16,402,F5,1.1877282835329126,16
2,0,correct/related,-200..0,baseline,16,402,F3,1.1551847670858424,16
3,0,correct/related,-200..0,baseline,16,402,F1,2.151514763227394,16
4,0,correct/related,-200..0,baseline,16,402,Fz,2.6866529939471104,16
5,0,correct/related,-200..0,baseline,16,402,F2,-1.8217714870342245,16
6,0,correct/related,-200..0,baseline,16,402,F4,2.083291255803233,16
7,0,correct/related,-200..0,baseline,16,402,F6,2.50031491686127,16
8,0,correct/related,-200..0,baseline,16,402,F8,0.9381768753072889,16
9,0,correct/related,-200..0,baseline,16,402,FT7,0.8050358158029998,16
10,0,correct/related,-200..0,baseline,16,402,FC5,5.654890939328051,16
11,0,correct/related,-200..0,baseline,16,402,FC3,0.7698535772018577,16
12,0,correct/related,-200..0,baseline,16,402,FC1,-3.6042017811360516,16
13,0,correct/related,-200..0,baseline,16,402,FCz,0.700727770429683,16
14,0,correct/related,-200..0,baseline,16,402,FC2,0.04076578121517468,16
15,0,correct/related,-200..0,baseline,16,402,FC4,-0.3915454185662697,16
16,0,correct/related,-200..0,baseline,16,402,FC6,1.1315899546525763,16
17,0,correct/related,-200..0,baseline,16,402,FT8,-0.8691888447362925,16
18,0,correct/related,-200..0,baseline,16,402,T7,2.449986058808863,16
19,0,correct/related,-200..0,baseline,16,402,C5,2.262040784283654,16
20,0,correct/related,-200..0,baseline,16,402,C3,1.7379255495232213,16
21,0,correct/related,-200..0,baseline,16,402,C1,-1.2414458399296986,16
22,0,correct/related,-200..0,baseline,16,402,Cz,-0.8887764424688027,16
23,0,correct/related,-200..0,baseline,16,402,C2,-2.1924477807801375,16
24,0,correct/related,-200..0,baseline,16,402,C4,-3.0049008585173533,16
25,0,correct/related,-200..0,baseline,16,402,C6,-0.007681850491757261,16
26,0,correct/related,-200..0,baseline,16,402,T8,-0.7169534461395664,16
27,0,correct/related,-200..0,baseline,16,402,CP5,3.3387512561415975,16
