,epoch,condition,win,wname,item,rt,channel,mean,subj
0,0,correct/unrelated,-200..0,baseline,41,322,F7,-0.9302756961174008,13
1,0,correct/unrelated,-200..0,baseline,41,322,F5,-3.799902957455721,13
2,0,correct/unrelated,-200..0,baseline,41,322,F3,-5.251250708181722,13
3,0,correct/unrelated,-200..0,baseline,41,322,F1,-4.956846560836824,13
4,0,correct/unrelated,-200..0,baseline,41,322,Fz,-5.869898396450945,13
5,0,correct/unrelated,-200..0,baseline,41,322,F2,-5.949228236924732,13
6,0,correct/unrelated,-200..0,baseline,41,322,F4,-5.5145270259847825,13
7,0,correct/unrelated,-200..0,baseline,41,322,F6,-6.367633146589897,13
8,0,correct/unrelated,-200..0,baseline,41,322,F8,-5.761777788465388,13
9,0,correct/unrelated,-200..0,baseline,41,322,FT7,-3.9575188821871854,13
10,0,correct/unrelated,-200..0,baseline,41,322,FC5,-3.106641455308151,13
11,0,correct/unrelated,-200..0,baseline,41,322,FC3,-7.119759271918373,13
12,0,correct/unrelated,-200..0,baseline,41,322,FC1,-8.30098194443018,13
13,0,correct/unrelated,-200..0,baseline,41,322,FCz,-9.252833619647749,13
14,0,correct/unrelated,-200..0,baseline,41,322,FC2,-8.804041983894002,13
15,0,correct/unrelated,-200..0,baseline,41,322,FC4,-6.171367396674595,13
16,0,correct/unrelated,-200..0,baseline,41,322,FC6,-6.038030285881478,13
17,0,correct/unrelated,-200..0,baseline,41,322,FT8,-7.134137003471213,13
18,0,correct/unrelated,-200..0,baseline,41,322,T7,-4.111577187777543,13
19,0,correct/unrelated,-200..0,baseline,41,322,C5,-4.42050621371091,13
20,0,correct/unrelated,-200..0,baseline,41,322,C3,-5.4835585688546935,13
21,0,correct/unrelated,-200..0,baseline,41,322,C1,-9.49487838967906,13
22,0,correct/unrelated,-200..0,baseline,41,322,Cz,-11.352084154549761,13
23,0,correct/unrelated,-200..0,baseline,41,322,C2,-9.333651442920262,13
24,0,correct/unrelated,-200..0,baseline,41,322,C4,-7.637169074023295,13
25,0,correct/unrelated,-200..0,baseline,41,322,C6,-7.663719274478663,13
26,0,correct/unrelated,-200..0,baseline,41,322,T8,-6.194657648835067,13
27,0,correct/unrelated,-200..0,baseline,41,322,CP5,-4.409466686858114,13
28,0,correct/unrelated,-200..0,baseline,41,322,CP3,-4.675673119990216,13
29,0,correct/unrelated,-200..0,baseline,41,322,CP1,-10.06778963705904,13
30,0,correct/unrelated,-200..0,baseline,41,322,CPz,-8.745592941790166,13
