,epoch,condition,win,wname,item,rt,channel,mean,subj
0,0,correct/antonym,-200..0,baseline,64,536,F7,-5.221112931846413,3
1,0,correct/antonym,-200..0,baseline,64,536,F5,-4.549137835273471,3
2,0,correct/antonym,-200..0,baseline,64,536,F3,-3.7259487953589945,3
3,0,correct/antonym,-200..0,baseline,64,536,F1,-3.478621542228259,3
4,0,correct/antonym,-200..0,baseline,64,536,Fz,-0.20878325107053683,3
5,0,correct/antonym,-200..0,baseline,64,536,F2,-0.30945457106035484,3
6,0,correct/antonym,-200..0,baseline,64,536,F4,-0.14810650638196304,3
7,0,correct/antonym,-200..0,baseline,64,536,F6,3.5669344976436803,3
8,0,correct/antonym,-200..0,baseline,64,536,F8,7.2862776442277415,3
9,0,correct/antonym,-200..0,baseline,64,536,FT7,-2.941529048726976,3
10,0,correct/antonym,-200..0,baseline,64,536,FC5,-4.865045905351199,3
11,0,correct/antonym,-200..0,baseline,64,536,FC3,-5.8446653200034415,3
12,0,correct/antonym,-200..0,baseline,64,536,FC1,-6.360694811867993,3
13,0,correct/antonym,-200..0,baseline,64,536,FCz,-3.2540284956819248,3
14,0,correct/antonym,-200..0,baseline,64,536,FC2,-3.3255901601734523,3
15,0,correct/antonym,-200..0,baseline,64,536,FC4,-1.9486437727711516,3
16,0,correct/antonym,-200..0,baseline,64,536,FC6,0.8267222884597081,3
17,0,correct/antonym,-200..0,baseline,64,536,FT8,5.923287244472637,3
18,0,correct/antonym,-200..0,baseline,64,536,T7,-5.344869528102816,3
19,0,correct/antonym,-200..0,baseline,64,536,C5,-8.496112698135315,3
20,0,correct/antonym,-200..0,baseline,64,536,C3,-7.665447945077193,3
21,0,correct/antonym,-200..0,baseline,64,536,C1,-7.482766496382882,3
22,0,correct/antonym,-200..0,baseline,64,536,Cz,-6.992088202062452,3
23,0,correct/antonym,-200..0,baseline,64,536,C2,-6.553698557378712,3
24,0,correct/antonym,-200..0,baseline,64,536,C4,-7.107159275280709,3
25,0,correct/antonym,-200..0,baseline,64,536,C6,-1.753022536214482,3
26,0,correct/antonym,-200..0,baseline,64,536,T8,1.406402984678234,3
27,0,correct/antonym,-200..0,baseline,64,536,CP5,-9.887943196970143,3
28,0,correct/antonym,-200..0,baseline,64,536,CP3,-10.139448741595071,3
29,0,correct/antonym,-200..0,baseline,64,536,CP1,-9.09387806104538,3
30,0,correct/antonym,-200..0,baseline,64,536,CPz,-10.828128197987258,3
31,0,correct/antonym,-200..0,baseline,64,536,CP2,-8.967051622553504,3
32,0,correct/antonym,-200..0,baseline,64,536,CP4,-9.4217964297139,3
33,0,correct/antonym,-200..0,baseline,64,536,CP6,-6.818737450869829,3
34,0,correct/antonym,-200..0,baseline,64,536,P5,-9.377587691377629,3
35,0,correct/antonym,-200..0,baseline,64,536,P3,-13.450879238581955,3
36,0,correct/antonym,-200..0,baseline,64,536,P1,-12.017906850096356,3
37,0,correct/antonym,-200..0,baseline,64,536,Pz,-12.501103846132056,3
38,0,correct/antonym,-200..0,baseline,64,536,P2,-13.089076958433486,3
39,0,correct/antonym,-200..0,baseline,64,536,P4,-9.94178721486569,3
40,0,correct/antonym,-200..0,baseline,64,536,P6,-7.113726093981489,3
41,0,correct/antonym,-200..0,baseline,64,536,P8,-5.192988852620577,3
42,0,correct/antonym,-200..0,baseline,64,536,PO3,-11.0169812086275,3
43,0,correct/antonym,-200..0,baseline,64,536,POz,-12.974959849431368,3
44,0,correct/antonym,-200..0,baseline,64,536,PO4,-10.31529775358462,3
45,0,correct/antonym,-200..0,baseline,64,536,Oz,-7.560053742625101,3
46,1,correct/unrelated,-200..0,baseline,13,426,F7,5.31847078999313,3
47,1,correct/unrelated,-200..0,baseline,13,426,F5,-0.6620551725190162,3
48,1,correct/unrelated,-200..0,baseline,13,426,F3,-6.209515515575182,3
49,1,correct/unrelated,-200..0,baseline,13,426,F1,-2.9846883764215315,3
50,1,correct/unrelated,-200..0,baseline,13,426,Fz,-2.3703871753023833,3
51,1,correct/unrelated,-200..0,baseline,13,426,F2,-4.608439647172153,3
52,1,correct/unrelated,-200..0,baseline,13,426,F4,-5.247373678426444,3
53,1,correct/unrelated,-200..0,baseline,13,426,F6,-3.2568578090843867,3
54,1,correct/unrelated,-200..0,baseline,13,426,F8,0.1599325934459254,3
55,1,correct/unrelated,-200..0,baseline,13,426,FT7,2.0881103179595955,3
56,1,correct/unrelated,-200..0,baseline,13,426,FC5,-0.35403047681882255,3
57,1,correct/unrelated,-200..0,baseline,13,426,FC3,-0.7941835766067824,3
58,1,correct/unrelated,-200..0,baseline,13,426,FC1,-2.526169084518591,3
59,1,correct/unrelated,-200..0,baseline,13,426,FCz,-3.7077355390973974,3
60,1,correct/unrelated,-200..0,baseline,13,426,FC2,-5.68066740122884,3
61,1,correct/unrelated,-200..0,baseline,13,426,FC4,-6.326198113242688,3
62,1,correct/unrelated,-200..0,baseline,13,426,FC6,-3.5783920809849,3
63,1,correct/unrelated,-200..0,baseline,13,426,FT8,-0.9745496350152093,3
64,1,correct/unrelated,-200..0,baseline,13,426,T7,0.5146656583783702,3
65,1,correct/unrelated,-200..0,baseline,13,426,C5,0.5871985524029585,3
66,1,correct/unrelated,-200..0,baseline,13,426,C3,-2.114870951569196,3
67,1,correct/unrelated,-200..0,baseline,13,426,C1,-2.867207686611721,3
68,1,correct/unrelated,-200..0,baseline,13,426,Cz,-2.5245696347690947,3
69,1,correct/unrelated,-200..0,baseline,13,426,C2,-6.984652764397311,3
70,1,correct/unrelated,-200..0,baseline,13,426,C4,-5.652300461837848,3
71,1,correct/unrelated,-200..0,baseline,13,426,C6,-5.3393323487657,3
72,1,correct/unrelated,-200..0,baseline,13,426,T8,-3.9131849509949643,3
73,1,correct/unrelated,-200..0,baseline,13,426,CP5,-0.7283198445568643,3
74,1,correct/unrelated,-200..0,baseline,13,426,CP3,-2.6965878264188627,3
75,1,correct/unrelated,-200..0,baseline,13,426,CP1,-1.2781524135792823,3
76,1,correct/unrelated,-200..0,baseline,13,426,CPz,-4.72265311708552,3
77,1,correct/unrelated,-200..0,baseline,13,426,CP2,-6.98384750348202,3
78,1,correct/unrelated,-200..0,baseline,13,426,CP4,-8.449811659546343,3
79,1,correct/unrelated,-200..0,baseline,13,426,CP6,-5.496786698935488,3
80,1,correct/unrelated,-200..0,baseline,13,426,P5,-4.2740705948857824,3
81,1,correct/unrelated,-200..0,baseline,13,426,P3,-5.7466092926101355,3
82,1,correct/unrelated,-200..0,baseline,13,426,P1,-6.083660868027208,3
83,1,correct/unrelated,-200..0,baseline,13,426,Pz,-5.087173038566081,3
84,1,correct/unrelated,-200..0,baseline,13,426,P2,-5.419233485217661,3
