,epoch,condition,win,wname,item,rt,channel,mean,subj
0,0,correct/related,-200..0,baseline,34,1548,F7,-3.11626668969181,10
1,0,correct/related,-200..0,baseline,34,1548,F5,-5.1215143560455,10
2,0,correct/related,-200..0,baseline,34,1548,F3,-7.689883620737005,10
3,0,correct/related,-200..0,baseline,34,1548,F1,-7.915951641853392,10
4,0,correct/related,-200..0,baseline,34,1548,Fz,-6.061324808687108,10
5,0,correct/related,-200..0,baseline,34,1548,F2,-7.91446667951864,10
6,0,correct/related,-200..0,baseline,34,1548,F4,-5.2301916663202235,10
7,0,correct/related,-200..0,baseline,34,1548,F6,-2.1803094899441975,10
8,0,correct/related,-200..0,baseline,34,1548,F8,-0.6687731794996559,10
9,0,correct/related,-200..0,baseline,34,1548,FT7,-4.198607568266572,10
10,0,correct/related,-200..0,baseline,34,1548,FC5,-6.611686816081052,10
11,0,correct/related,-200..0,baseline,34,1548,FC3,-9.388790912968178,10
12,0,correct/related,-200..0,baseline,34,1548,FC1,-12.154128385046677,10
13,0,correct/related,-200..0,baseline,34,1548,FCz,-14.370225967504231,10
14,0,correct/related,-200..0,baseline,34,1548,FC2,-9.453847873930089,10
15,0,correct/related,-200..0,baseline,34,1548,FC4,-5.344342624290077,10
16,0,correct/related,-200..0,baseline,34,1548,FC6,-0.8347946184527785,10
17,0,correct/related,-200..0,baseline,34,1548,FT8,-0.7956382932456861,10
18,0,correct/related,-200..0,baseline,34,1548,T7,-2.5448564899231645,10
19,0,correct/related,-200..0,baseline,34,1548,C5,-6.807383348265078,10
20,0,correct/related,-200..0,baseline,34,1548,C3,-8.490878805288569,10
21,0,correct/related,-200..0,baseline,34,1548,C1,-12.129098459237873,10
22,0,correct/related,-200..0,baseline,34,1548,Cz,-10.691900174408376,10
23,0,correct/related,-200..0,baseline,34,1548,C2,-9.597135876878772,10
24,0,correct/related,-200..0,baseline,34,1548,C4,-7.204691057770501,10
25,0,correct/related,-200..0,baseline,34,1548,C6,-3.6898867504387303,10
26,0,correct/related,-200..0,baseline,34,1548,T8,0.6981871389402852,10
27,0,correct/related,-200..0,baseline,34,1548,CP5,-5.977309228713124,10
28,0,correct/related,-200..0,baseline,34,1548,CP3,-8.088989443717072,10
29,0,correct/related,-200..0,baseline,34,1548,CP1,-8.5399432280905,10
30,0,correct/related,-200..0,baseline,34,1548,CPz,-8.753227613795385,10
31,0,correct/related,-200..0,baseline,34,1548,CP2,-9.596136821274827,10
32,0,correct/related,-200..0,baseline,34,1548,CP4,-7.242517043017715,10
33,0,correct/related,-200..0,baseline,34,1548,CP6,-2.7358418710246593,10
34,0,correct/related,-200..0,baseline,34,1548,P5,-4.20289476016318,10
35,0,correct/related,-200..0,baseline,34,1548,P3,-7.1735356401848644,10
36,0,correct/related,-200..0,baseline,34,1548,P1,-6.333517675011597,10
37,0,correct/related,-200..0,baseline,34,1548,Pz,-9.206695045783187,10
38,0,correct/related,-200..0,baseline,34,1548,P2,-7.58803114041904,10
39,0,correct/related,-200..0,baseline,34,1548,P4,-5.727321762261792,10
40,0,correct/related,-200..0,baseline,34,1548,P6,-2.5349346413288796,10
41,0,correct/related,-200..0,baseline,34,1548,P8,-2.586651126094793,10
42,0,correct/related,-200..0,baseline,34,1548,PO3,-6.139708098744888,10
43,0,correct/related,-200..0,baseline,34,1548,POz,-7.020640621031366,10
44,0,correct/related,-200..0,baseline,34,1548,PO4,-4.880440505020131,10
45,0,correct/related,-200..0,baseline,34,1548,Oz,-4.312448207831771,10
46,1,correct/antonym,-200..0,baseline,76,410,F7,4.185140029905968,10
47,1,correct/antonym,-200..0,baseline,76,410,F5,2.808278700550929,10
48,1,correct/antonym,-200..0,baseline,76,410,F3,0.5504999037315929,10
49,1,correct/antonym,-200..0,baseline,76,410,F1,-1.5259051760768811,10
50,1,correct/antonym,-200..0,baseline,76,410,Fz,0.5557712167107175,10
51,1,correct/antonym,-200..0,baseline,76,410,F2,-1.7201952653048689,10
52,1,correct/antonym,-200..0,baseline,76,410,F4,-2.354355722373527,10
53,1,correct/antonym,-200..0,baseline,76,410,F6,2.583551473800817,10
54,1,correct/antonym,-200..0,baseline,76,410,F8,2.4749416144121987,10
55,1,correct/antonym,-200..0,baseline,76,410,FT7,4.74208984442372,10
56,1,correct/antonym,-200..0,baseline,76,410,FC5,1.536282503886023,10
57,1,correct/antonym,-200..0,baseline,76,410,FC3,0.9269593227432879,10
58,1,correct/antonym,-200..0,baseline,76,410,FC1,-0.8118767839382959,10
59,1,correct/antonym,-200..0,baseline,76,410,FCz,-2.4270814313794298,10
60,1,correct/antonym,-200..0,baseline,76,410,FC2,-3.2326100324448213,10
61,1,correct/antonym,-200..0,baseline,76,410,FC4,-2.595534095892832,10
62,1,correct/antonym,-200..0,baseline,76,410,FC6,-7.675199372648168,10
63,1,correct/antonym,-200..0,baseline,76,410,FT8,0.8127938205454182,10
64,1,correct/antonym,-200..0,baseline,76,410,T7,2.771218200413583,10
65,1,correct/antonym,-200..0,baseline,76,410,C5,-0.4149916171777851,10
66,1,correct/antonym,-200..0,baseline,76,410,C3,-6.140326871257598,10
67,1,correct/antonym,-200..0,baseline,76,410,C1,-3.499593779351819,10
68,1,correct/antonym,-200..0,baseline,76,410,Cz,-3.672169712476681,10
69,1,correct/antonym,-200..0,baseline,76,410,C2,-5.855540692387521,10
70,1,correct/antonym,-200..0,baseline,76,410,C4,-4.43174051232183,10
71,1,correct/antonym,-200..0,baseline,76,410,C6,-2.5634481873771575,10
72,1,correct/antonym,-200..0,baseline,76,410,T8,0.23494835517503387,10
73,1,correct/antonym,-200..0,baseline,76,410,CP5,-5.077103270889645,10
74,1,correct/antonym,-200..0,baseline,76,410,CP3,-4.3343767902914205,10
75,1,correct/antonym,-200..0,baseline,76,410,CP1,-4.956820882734338,10
76,1,correct/antonym,-200..0,baseline,76,410,CPz,-5.42244139508125,10
77,1,correct/antonym,-200..0,baseline,76,410,CP2,-6.032294986681627,10
78,1,correct/antonym,-200..0,baseline,76,410,CP4,-2.4188379269743607,10
79,1,correct/antonym,-200..0,baseline,76,410,CP6,-3.18644635054623,10
80,1,correct/antonym,-200..0,baseline,76,410,P5,-3.632467098469049,10
81,1,correct/antonym,-200..0,baseline,76,410,P3,-5.485838343579874,10
82,1,correct/antonym,-200..0,baseline,76,410,P1,-3.8034358567410127,10
83,1,correct/antonym,-200..0,baseline,76,410,Pz,-4.897815187920337,10
84,1,correct/antonym,-200..0,baseline,76,410,P2,-4.086823910167008,10
85,1,correct/antonym,-200..0,baseline,76,410,P4,-4.143084610182667,10
86,1,correct/antonym,-200..0,baseline,76,410,P6,-1.9559176711673019,10
87,1,correct/antonym,-200..0,baseline,76,410,P8,-3.0245555433915485,10
88,1,correct/antonym,-200..0,baseline,76,410,PO3,-5.1649464841367605,10
89,1,correct/antonym,-200..0,baseline,76,410,POz,-4.437459715153098,10
90,1,correct/antonym,-200..0,baseline,76,410,PO4,-3.8895620787449263,10
91,1,correct/antonym,-200..0,baseline,76,410,Oz,-4.598111061829106,10
92,2,correct/related,-200..0,baseline,58,968,F7,-0.263017635449107,10
93,2,correct/related,-200..0,baseline,58,968,F5,0.0449499205953637,10
94,2,correct/related,-200..0,baseline,58,968,F3,-0.9075691626439659,10
95,2,correct/related,-200..0,baseline,58,968,F1,-3.01943042515848,10
96,2,correct/related,-200..0,baseline,58,968,Fz,-1.2121168903436177,10
97,2,correct/related,-200..0,baseline,58,968,F2,-4.611113391282605,10
98,2,correct/related,-200..0,baseline,58,968,F4,-3.9565263815246583,10
99,2,correct/related,-200..0,baseline,58,968,F6,-0.6721236355574353,10
